City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Necochea,AR,60.04,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
428,Owando,CG,71.1,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
433,Barranco,PA,72.01,scattered clouds,9.5167,-82.7,Casa doña Delfina Jiménez
434,Sao Gabriel Da Cachoeira,BR,73.31,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
435,Atambua,ID,80.89,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
437,Cape Canaveral,US,75.45,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
438,Singaparna,ID,76.75,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
442,Samarai,PG,85.93,overcast clouds,-10.6167,150.6667,Nuli Sapi
443,Aplahoue,BJ,75.42,clear sky,6.9333,1.6833,Hotel ARNOGOS
444,Meulaboh,ID,77.88,overcast clouds,4.1363,96.1285,Kost Pria
445,Mwense,ZM,61.7,overcast clouds,-10.3845,28.698,Mwense Council Guest House
447,North Bend,US,51.17,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
448,Kapit,MY,80.22,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
449,Moron,AR,75.06,thunderstorm with light rain,-34.6534,-58.6198,Hotel Morón
452,Kirakira,SB,84.25,overcast clouds,-10.4544,161.9205,SanBiz Lodge
455,Chabahar,IR,69.82,clear sky,25.2919,60.643,هتل گدروشیا
456,Coffs Harbour,AU,73.67,broken clouds,-30.3,153.1333,Aquajet Motel
458,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
461,Pimentel,PE,70.38,scattered clouds,-6.8367,-79.9342,Casona Del Muelle
463,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
465,Sechura,PE,71.64,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
468,Abong Mbang,CM,62.2,overcast clouds,3.9833,13.1833,Auberge Angle Sur
469,Hirara,JP,62.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
470,Monrovia,LR,78.42,few clouds,6.3005,-10.7969,Sunset Inn
471,Rairangpur,IN,55.85,clear sky,22.2676,86.1751,Motu Hotel
476,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
477,Burnie,AU,64.67,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
479,Huarmey,PE,71.06,scattered clouds,-10.0681,-78.1522,Hotel Miramar
481,Constitucion,CL,58.6,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
486,Bilma,NE,56.12,clear sky,18.6853,12.9164,Expeditions Ténére voyages
487,Vieques,PR,74.89,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
489,Soyo,AO,76.89,broken clouds,-6.1349,12.3689,Hotel Mpampa
491,Batticaloa,LK,74.79,overcast clouds,7.7102,81.6924,Grand Star Guest House
492,Minab,IR,58.5,clear sky,27.1467,57.0801,Bam campground
494,Waingapu,ID,85.86,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
496,Broken Hill,AU,78.51,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
501,Kissidougou,GN,67.87,clear sky,9.1848,-10.0999,Hôtel Mantis
502,Madhipura,IN,55.99,overcast clouds,25.9167,86.7833,SPOT ON 64083 Hotel Ganga
506,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
507,Lazaro Cardenas,MX,73.4,few clouds,17.9583,-102.2,quinta antigua
508,Barcelona,ES,55.54,mist,41.3888,2.159,Axel Hotel Barcelona
512,Yabelo,ET,62.53,broken clouds,4.8833,38.0833,Asnakech W/michael
513,Bodden Town,KY,77.0,scattered clouds,19.2833,-81.25,Will T Place
514,Kulhudhuffushi,MV,81.05,broken clouds,6.6221,73.07,Haajy Guest House 1
515,Goma,CD,62.6,light rain,-1.6792,29.2228,Hotel la Versailles Goma
517,Emerald,AU,83.34,clear sky,-23.5333,148.1667,The Irish Village
518,Teguise,ES,62.82,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
520,Ruteng,ID,72.14,overcast clouds,-8.6136,120.4721,Hotel FX 72
524,Wanning,CN,65.5,overcast clouds,18.8003,110.3967,Paradise Hotel
527,Rocha,UY,66.07,few clouds,-34.4833,-54.3333,Hotel Arrarte
529,Lixourion,GR,52.03,broken clouds,38.2019,20.4314,Hotel Summery
531,Tadpatri,IN,70.41,scattered clouds,14.9167,78.0167,Anand Hotel
535,Pacific Grove,US,64.08,clear sky,36.6177,-121.9166,Lovers Point Inn
536,Tapejara,BR,66.76,clear sky,-28.0681,-52.0139,Hotel Fontana
537,Coihaique,CL,60.75,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
538,Linares,CL,64.27,clear sky,-35.85,-71.6,Hotel Real
539,Lima,PE,70.05,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
540,Kavieng,PG,83.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
542,Bonthe,SL,75.43,clear sky,7.5264,-12.505,Bonthe Holiday Village
544,Durban,ZA,70.92,heavy intensity rain,-29.8579,31.0292,Hilton Durban
546,Itoman,JP,61.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
547,Sao Gotardo,BR,65.64,heavy intensity rain,-19.3111,-46.0489,HOTEL BOMTEMPO
549,Amnat Charoen,TH,70.77,clear sky,15.9167,104.75,หอพักนักศึกษา
550,Puerto Rondon,CO,84.33,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
551,Denpasar,ID,83.71,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
552,Veraval,IN,63.75,scattered clouds,20.9,70.3667,Lords Inn Somnath
555,Rio Gallegos,AR,50.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
556,Jammalamadugu,IN,69.33,scattered clouds,14.8333,78.4,R and B Guest House
558,Douentza,ML,64.67,few clouds,14.9951,-2.9517,Ogomono Doumbo
561,Mtwara,TZ,75.92,moderate rain,-10.2667,40.1833,TIL Hotels Mtwara
564,Port Macquarie,AU,75.88,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
565,Chapada Dos Guimaraes,BR,73.06,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
566,San Felipe,VE,69.64,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
567,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
569,Praia,CV,70.34,clear sky,14.9215,-23.5087,LT Aparthotel
573,Mayumba,GA,75.74,overcast clouds,-3.432,10.6554,LIKWALE LODGE
575,Auki,SB,84.4,overcast clouds,-8.7676,160.7034,Auki Motel
